Time (s),Frequency (Hz),Intensity (dB)
0.13837837837837838,953.90625,-313.0712
0.13837837837837838,961.1328125,-313.0712
0.13837837837837838,968.359375,-313.0712
0.13837837837837838,975.5859375,-313.0712
0.13837837837837838,982.8125,-313.0712
0.13837837837837838,990.0390625,-313.0712
0.13837837837837838,997.265625,-313.0712
0.13837837837837838,1004.4921875,-313.0712
0.13837837837837838,1011.71875,-313.0712
0.13837837837837838,1018.9453125,-313.0712
0.13837837837837838,1026.171875,-313.0712
0.13837837837837838,1033.3984375,-313.0712
0.13837837837837838,1040.625,-313.0712
0.13837837837837838,1047.8515625,-313.0712
0.13837837837837838,1055.078125,-313.0712
0.13837837837837838,1062.3046875,-313.0712
0.13837837837837838,1069.53125,-313.0712
0.13837837837837838,1076.7578125,-313.0712
0.13837837837837838,1083.984375,-313.0712
0.13837837837837838,1091.2109375,-313.0712
0.13837837837837838,1098.4375,-313.0712
0.13837837837837838,1105.6640625,-313.0712
0.13837837837837838,1112.890625,-313.0712
0.13837837837837838,1120.1171875,-313.0712
0.13837837837837838,1127.34375,-313.0712
0.13837837837837838,1134.5703125,-313.0712
0.13837837837837838,1141.796875,-313.0712
0.13837837837837838,1149.0234375,-313.0712
0.13837837837837838,1156.25,-313.0712
0.13837837837837838,1163.4765625,-313.0712
0.13837837837837838,1170.703125,-313.0712
0.13837837837837838,1177.9296875,-313.0712
0.13837837837837838,1185.15625,-313.0712
0.13837837837837838,1192.3828125,-313.0712
0.13837837837837838,1199.609375,-313.0712
0.13837837837837838,1206.8359375,-313.0712
0.13837837837837838,1214.0625,-313.0712
0.13837837837837838,1221.2890625,-313.0712
0.13837837837837838,1228.515625,-313.0712
0.13837837837837838,1235.7421875,-313.0712
0.13837837837837838,1242.96875,-313.0712
0.13837837837837838,1250.1953125,-313.0712
0.13837837837837838,1257.421875,-313.0712
0.13837837837837838,1264.6484375,-313.0712
0.13837837837837838,1271.875,-313.0712
0.13837837837837838,1279.1015625,-313.0712
0.13837837837837838,1286.328125,-313.0712
0.13837837837837838,1293.5546875,-313.0712
0.13837837837837838,1300.78125,-313.0712
0.13837837837837838,1308.0078125,-313.0712
0.13837837837837838,1315.234375,-313.0712
0.13837837837837838,1322.4609375,-313.0712
0.13837837837837838,1329.6875,-313.0712
0.13837837837837838,1336.9140625,-313.0712
0.13837837837837838,1344.140625,-313.0712
0.13837837837837838,1351.3671875,-313.0712
0.13837837837837838,1358.59375,-313.0712
0.13837837837837838,1365.8203125,-313.0712
0.13837837837837838,1373.046875,-313.0712
0.13837837837837838,1380.2734375,-313.0712
0.13837837837837838,1387.5,-313.0712
0.13837837837837838,1394.7265625,-313.0712
0.13837837837837838,1401.953125,-313.0712
0.13837837837837838,1409.1796875,-313.0712
0.13837837837837838,1416.40625,-313.0712
0.13837837837837838,1423.6328125,-313.0712
0.13837837837837838,1430.859375,-313.0712
0.13837837837837838,1438.0859375,-313.0712
0.13837837837837838,1445.3125,-313.0712
0.13837837837837838,1452.5390625,-313.0712
0.13837837837837838,1459.765625,-313.0712
0.13837837837837838,1466.9921875,-313.0712
0.13837837837837838,1474.21875,-313.0712
0.13837837837837838,1481.4453125,-313.0712
0.13837837837837838,1488.671875,-313.0712
0.13837837837837838,1495.8984375,-313.0712
0.13837837837837838,1503.125,-313.0712
0.13837837837837838,1510.3515625,-313.0712
0.13837837837837838,1517.578125,-313.0712
